,cusip,tic,ticker,extraction_info,totals,extracted,errors,totals_2
420,87509Q105,ACEL.,ACEL,"0, 0, 0, []",0,0,0,3
931,030137103,AMK.2,AMK,"0, 0, 0, []",0,0,0,1
5523,211919105,CNVR.,CNVR,"0, 0, 0, []",0,0,0,14
7949,G47791101,IR,IR,"0, 0, 0, []",0,0,0,3
9706,577723109,MAXC.,MAXC,"0, 0, 0, []",0,0,0,11
9721,577903107,MAXE.,MAXE,"0, 0, 0, []",0,0,0,13
15041,885535104,COMS.,COMS,"0, 0, 0, []",0,0,0,16
16000,835637109,SWHI.,SWHI,"0, 0, 0, []",0,0,0,16
18730,09238D205,BHR.,BHR,"0, 0, 0, []",0,0,0,7
20157,844909200,SWTX.1,SWTX,"0, 0, 0, []",0,0,0,1
20971,131916108,CADA.,CADA,"0, 0, 0, []",0,0,0,13
21426,956150106,WSC.,WSC,"0, 0, 0, []",0,0,0,5
24734,83416T100,SCTY.,SCTY,"0, 0, 0, []",0,0,0,5
27066,04315W101,AEC..,AEC,"0, 0, 0, []",0,0,0,19
27284,002107100,ATW.,ATW,"0, 0, 0, []",0,0,0,23
27623,13730P104,CBF.,CBF,"0, 0, 0, []",0,0,0,5
48142,74383L105,PVBC,PVBC,"0, 0, 0, []",0,0,0,1
52882,41165Y100,HONE,HONE,"0, 0, 0, []",0,0,0,1
64164,03969T109,ARCT,ARCT,"0, 0, 0, []",0,0,0,1
66005,04546L106,AMK,AMK,"0, 0, 0, []",0,0,0,1
66370,23255M105,CYCN,CYCN,"0, 0, 0, []",0,0,0,1
66421,82489T104,SWAV,SWAV,"0, 0, 0, []",0,0,0,1
66565,89532M101,TRVI,TRVI,"0, 0, 0, []",0,0,0,1
66606,65343E108,NXTC,NXTC,"0, 0, 0, []",0,0,0,1
66608,03828A101,APLT,APLT,"0, 0, 0, []",0,0,0,1
66642,83088V102,WORK,WORK,"0, 0, 0, []",0,0,0,1
66794,604749101,MIRM,MIRM,"0, 0, 0, []",0,0,0,1
66814,18978H102,CNSP,CNSP,"0, 0, 0, []",0,0,0,1
66897,85205L107,SWTX,SWTX,"0, 0, 0, []",0,0,0,1
109871,98379L100,XPEL,XPEL,"0, 0, 0, []",0,0,0,1
145914,02917L101,ARCT.2,ARCT,"0, 0, 0, []",0,0,0,1
